id,年份,题号,题型,主考点,相关考点(背诵P/精讲P)
2019-6,2019,6,single,窝藏罪,
2019-7,2019,7,single,开设赌场罪,帮助信息网络犯罪活动罪=154/488 | 非法经营罪=123/364 | 开设赌场罪=157/500 | 赌博罪=157/498
2019-8,2019,8,single,利用影响力受贿罪,利用影响力受贿罪=175/561 | 受贿罪=174/554
2019-9,2019,9,single,受贿罪,受贿罪=174/554 | 数罪并罚=67/232
2019-10,2019,10,single,组织卖淫罪,组织卖淫罪=169/538
2019-11,2019,11,single,罪刑法定原则,罪刑法定原则=7/16 | 从旧兼从轻=185/None
2019-12,2019,12,single,属人管辖,属人管辖=9/20 | 有期徒刑=52/201
2019-13,2019,13,single,不作为犯罪,不作为犯罪=17/47 | 危害结果=17/51 | 因果关系=18/54
2019-14,2019,14,single,诈骗罪,诈骗罪=141/444 | 不作为犯罪=17/47 | 继续犯=191/167 | 着手=None/None
2019-15,2019,15,single,防卫过当,防卫过当=30/107 | 正当防卫=29/101
2019-16,2019,16,single,犯罪未遂,犯罪未遂=34/126 | 犯罪中止=35/130 | 犯罪预备=33/123
2019-17,2019,17,single,故意伤害罪,故意伤害罪=127/375 | 侮辱罪=130/410 | 犯罪故意=25/78
2019-18,2019,18,single,,
2019-19,2019,19,single,死刑缓期执行,死刑缓期执行=None/203 | 无期徒刑=52/201 | 减刑=72/242 | 死刑=53/202 | 假释=75/246 | 刑罚=47/195
2019-20,2019,20,single,故意杀人罪,故意杀人罪=126/370 | 放火罪=93/276 | 抢劫罪=140/424 | 抢夺罪=142/434 | 紧急避险=30/110 | 危险犯=33/127 | 着手=None/None
2019-41,2019,41,multi,危害行为,危害行为=16/45 | 但书=13/29
2019-42,2019,42,multi,故意伤害罪,故意伤害罪=127/375 | 抢劫罪=140/424
2019-43,2019,43,multi,非国家工作人员受贿罪,非国家工作人员受贿罪=110/328 | 受贿罪=174/554
2019-44,2019,44,multi,剥夺政治权利,剥夺政治权利=55/208 | 缓刑=70/236 | 假释=75/246 | 刑罚=47/195 | 管制=51/199
2019-45,2019,45,multi,无期徒刑,无期徒刑=52/201 | 有期徒刑=52/201 | 减刑=72/242 | 拘役=52/200 | 立功=66/228 | 缓刑=70/236 | 假释=75/246 | 刑罚=47/195 | 管制=51/199
2020-1,2020,1,single,刑法,
2020-2,2020,2,single,正当防卫,正当防卫=29/101
2020-3,2020,3,single,诈骗罪,诈骗罪=141/444 | 共同犯罪=37/139
2020-4,2020,4,single,重大责任事故罪,重大责任事故罪=102/308 | 故意杀人罪=126/370 | 犯罪客观方面=186/45 | 不作为犯罪=17/47 | 危害结果=17/51
2020-5,2020,5,single,私放在押人员罪,私放在押人员罪=182/577 | 滥用职权罪=180/569 | 徇私枉法罪=None/None | 受贿罪=174/554 | 数罪并罚=67/232 | 罪数=41/165
2020-6,2020,6,single,非法拘禁罪,非法拘禁罪=131/389 | 实质的一罪=42/167 | 追诉时效=80/255 | 继续犯=191/167 | 着手=None/None | 从犯=39/156
2020-7,2020,7,single,故意伤害罪,故意伤害罪=127/375 | 故意杀人罪=126/370
2020-8,2020,8,single,强奸罪,故意杀人罪=126/370 | 强奸罪=129/380 | 因果关系=18/54
2020-9,2020,9,single,剥夺政治权利,剥夺政治权利=55/208 | 犯罪主体=20/65 | 死刑=53/202
2020-10,2020,10,single,破坏生产经营罪,以危险方法危害公共安全罪=94/282 | 破坏电力设备罪=103/313 | 破坏交通设施罪=95/287 | 破坏生产经营罪=144/460
2020-11,2020,11,single,刑事责任,刑事责任=19/191 | 危害行为=16/45 | 危害结果=17/51 | 因果关系=18/54
2020-12,2020,12,single,剥夺政治权利,剥夺政治权利=55/208 | 死刑缓期执行=None/203 | 无期徒刑=52/201 | 有期徒刑=52/201 | 拘役=52/200 | 死刑=53/202 | 主刑=None/199 | 管制=51/199
2020-13,2020,13,single,有期徒刑,有期徒刑=52/201 | 没收财产=55/206 | 量刑=58/213
2020-14,2020,14,single,绑架罪,故意杀人罪=126/370 | 抢劫罪=140/424 | 绑架罪=132/392 | 数罪并罚=67/232
2020-15,2020,15,single,妨害作证罪,妨害作证罪=162/513 | 伪证罪=159/503
2020-16,2020,16,single,生产销售不符合安全标准的食品罪,生产销售不符合安全标准的食品罪=107/None | 危险犯=33/127
2020-17,2020,17,single,诈骗罪,诈骗罪=141/444
2020-18,2020,18,single,强奸罪,强奸罪=129/380
2020-19,2020,19,single,重大责任事故罪,重大责任事故罪=102/308 | 过失致人死亡罪=127/374
2020-20,2020,20,single,非法持有毒品罪,非法持有毒品罪=168/536
2020-41,2020,41,multi,处断的一罪,处断的一罪=44/180 | 法定的一罪=44/175 | 连续犯=191/180 | 牵连犯=192/183 | 吸收犯=192/185 | 集合犯=44/178
2020-42,2020,42,multi,无期徒刑,无期徒刑=52/201 | 有期徒刑=52/201 | 减刑=72/242 | 拘役=52/200 | 立功=66/228 | 刑罚=47/195 | 管制=51/199
2020-43,2020,43,multi,煽动分裂国家罪,煽动分裂国家罪=None/None | 分裂国家罪=89/268
2020-44,2020,44,multi,刑事责任,刑事责任=19/191 | 量刑=58/213 | 自首=62/221
2020-45,2020,45,multi,侵犯公民个人信息罪,侵犯公民个人信息罪=137/412
2021-1,2021,1,single,刑事责任,刑事责任=19/191 | 有期徒刑=52/201 | 刑罚=47/195
2021-2,2021,2,single,犯罪中止,犯罪中止=35/130 | 间接故意=25/81 | 犯罪预备=33/123
2021-3,2021,3,single,投放危险物质罪,投放危险物质罪=94/280 | 失火罪=None/278 | 盗窃罪=141/436 | 刑事责任=19/191
2021-4,2021,4,single,以危险方法危害公共安全罪,以危险方法危害公共安全罪=94/282 | 有期徒刑=52/201 | 拘役=52/200 | 罚金=54/204 | 管制=51/199
2021-5,2021,5,single,犯罪未遂,犯罪未遂=34/126 | 犯罪中止=35/130 | 犯罪既遂=33/119
2021-6,2021,6,single,单位犯罪,刑事责任=19/191 | 单位犯罪=22/72
2021-7,2021,7,single,附加刑,附加刑=50/204 | 缓刑=70/236 | 管制=51/199
2021-8,2021,8,single,有期徒刑,有期徒刑=52/201 | 并科原则=69/234 | 拘役=52/200 | 刑罚=47/195 | 管制=51/199
